iter	Passed	Remaining
0	204	204397
1	208	104112
2	211	70251
3	212	53010
4	214	42664
5	215	35770
6	217	30863
7	220	27339
8	222	24554
9	224	22238
10	226	20352
11	228	18834
12	230	17489
13	231	16336
14	233	15326
15	235	14463
16	237	13711
17	238	13014
18	239	12388
19	241	11827
20	243	11342
21	244	10883
22	246	10460
23	247	10074
24	250	9778
25	252	9448
26	253	9143
27	255	8857
28	256	8596
29	258	8348
30	259	8116
31	261	7898
32	262	7694
33	264	7526
34	266	7343
35	267	7171
36	269	7007
37	271	6860
38	272	6712
39	273	6572
40	275	6437
41	276	6311
42	279	6212
43	280	6097
44	282	5985
45	283	5883
46	285	5782
47	286	5684
48	288	5591
49	289	5499
50	290	5412
51	293	5346
52	294	5266
53	296	5188
54	297	5116
55	299	5045
56	300	4975
57	302	4906
58	303	4842
59	304	4778
60	306	4725
61	308	4671
62	310	4616
63	312	4566
64	315	4539
65	317	4486
66	318	4434
67	319	4384
68	322	4344
69	323	4300
70	325	4254
71	326	4209
72	327	4164
73	329	4121
74	330	4079
75	332	4038
76	333	3998
77	334	3959
78	337	3932
79	339	3898
80	340	3862
81	341	3826
82	342	3785
83	344	3751
84	345	3718
85	346	3686
86	348	3654
87	349	3624
88	352	3603
89	353	3577
90	355	3548
91	356	3519
92	358	3491
93	359	3464
94	360	3437
95	362	3410
96	363	3385
97	365	3361
98	368	3356
99	370	3334
100	372	3313
101	373	3291
102	375	3271
103	377	3252
104	379	3233
105	383	3231
106	385	3215
107	387	3199
108	389	3180
109	390	3159
110	391	3138
111	393	3118
112	395	3102
113	397	3087
114	398	3068
115	400	3054
116	402	3035
117	403	3017
118	405	2999
119	406	2981
120	408	2963
121	409	2944
122	411	2934
123	413	2918
124	414	2901
125	415	2885
126	417	2867
127	418	2851
128	421	2842
129	422	2829
130	424	2814
131	426	2805
132	428	2790
133	429	2775
134	430	2761
135	432	2746
136	433	2732
137	435	2718
138	436	2706
139	438	2692
140	440	2681
141	441	2667
142	442	2654
143	444	2641
144	445	2628
145	447	2616
146	448	2603
147	450	2590
148	451	2579
149	453	2567
150	455	2559
151	457	2549
152	458	2538
153	459	2526
154	461	2514
155	462	2503
156	464	2491
157	465	2481
158	467	2470
159	468	2459
160	470	2450
161	471	2440
162	473	2429
163	474	2419
164	476	2409
165	477	2399
166	479	2389
167	480	2379
168	481	2369
169	483	2361
170	485	2353
171	486	2344
172	488	2334
173	489	2325
174	491	2316
175	492	2306
176	494	2297
177	495	2288
178	497	2279
179	499	2273
180	500	2265
181	502	2258
182	504	2251
183	506	2246
184	508	2239
185	509	2231
186	511	2222
187	513	2217
188	515	2210
189	516	2202
190	518	2194
191	519	2186
192	520	2178
193	522	2170
194	523	2162
195	525	2154
196	526	2146
197	529	2143
198	530	2135
199	532	2128
200	533	2120
201	534	2113
202	536	2105
203	537	2098
204	539	2090
205	540	2083
206	542	2077
207	544	2072
208	545	2065
209	547	2058
210	548	2051
211	550	2044
212	551	2037
213	552	2031
214	554	2024
215	555	2017
216	558	2014
217	559	2008
218	561	2001
219	562	1994
220	563	1987
221	565	1981
222	566	1974
223	568	1968
224	569	1961
225	571	1955
226	573	1952
227	574	1946
228	576	1940
229	577	1934
230	579	1928
231	580	1922
232	582	1915
233	583	1909
234	584	1903
235	586	1900
236	588	1895
237	590	1889
238	592	1885
239	593	1879
240	594	1873
241	596	1867
242	597	1862
243	599	1856
244	600	1851
245	602	1847
246	604	1841
247	605	1836
248	606	1830
249	608	1825
250	609	1819
251	611	1814
252	612	1808
253	613	1803
254	617	1802
255	618	1798
256	620	1794
257	622	1789
258	623	1784
259	625	1779
260	626	1773
261	627	1768
262	630	1766
263	632	1762
264	634	1758
265	635	1753
266	637	1748
267	638	1743
268	639	1738
269	641	1733
270	642	1728
271	645	1728
272	647	1724
273	649	1720
274	651	1717
275	653	1713
276	654	1709
277	656	1705
278	658	1701
279	660	1698
280	662	1694
281	663	1690
282	665	1687
283	667	1683
284	669	1678
285	670	1674
286	671	1669
287	673	1665
288	675	1662
289	677	1658
290	678	1654
291	680	1650
292	682	1646
293	683	1641
294	685	1637
295	686	1632
296	687	1628
297	690	1626
298	691	1622
299	693	1617
300	694	1613
301	696	1608
302	697	1604
303	699	1600
304	700	1596
305	701	1591
306	704	1589
307	705	1585
308	707	1581
309	708	1577
310	710	1573
311	711	1568
312	712	1564
313	714	1560
314	715	1556
315	717	1552
316	719	1550
317	721	1546
318	722	1542
319	723	1538
320	725	1534
321	726	1530
322	728	1526
323	729	1522
324	731	1518
325	732	1514
326	734	1512
327	736	1508
328	737	1504
329	739	1500
330	740	1497
331	742	1494
332	744	1491
333	746	1489
334	750	1489
335	751	1485
336	753	1482
337	754	1478
338	756	1474
339	757	1470
340	759	1466
341	760	1463
342	761	1459
343	763	1456
344	765	1453
345	767	1450
346	768	1447
347	770	1443
348	771	1439
349	773	1435
350	774	1431
351	775	1428
352	778	1426
353	779	1422
354	781	1419
355	782	1415
356	784	1412
357	785	1409
358	787	1405
359	788	1402
360	790	1398
361	791	1395
362	794	1393
363	795	1389
364	796	1386
365	798	1383
366	799	1379
367	801	1376
368	802	1372
369	804	1369
370	805	1365
371	807	1363
372	809	1360
373	811	1357
374	812	1354
375	813	1350
376	815	1347
377	816	1343
378	817	1340
379	819	1336
380	820	1333
381	822	1331
382	824	1328
383	825	1325
384	827	1321
385	828	1318
386	830	1315
387	831	1311
388	832	1308
389	834	1305
390	836	1302
391	838	1300
392	839	1297
393	841	1293
394	842	1290
395	844	1287
396	845	1284
397	846	1281
398	848	1277
399	849	1274
400	852	1273
401	854	1270
402	855	1267
403	856	1264
404	858	1260
405	859	1257
406	861	1254
407	862	1251
408	863	1248
409	865	1245
410	867	1243
411	869	1241
412	871	1238
413	873	1235
414	874	1232
415	875	1229
416	877	1226
417	878	1223
418	880	1220
419	882	1218
420	884	1215
421	885	1212
422	886	1209
423	888	1206
424	889	1203
425	891	1200
426	892	1197
427	893	1194
428	895	1192
429	897	1189
430	899	1186
431	900	1184
432	901	1181
433	903	1178
434	904	1175
435	906	1172
436	907	1169
437	909	1166
438	911	1164
439	913	1162
440	914	1159
441	915	1156
442	917	1153
443	918	1150
444	920	1147
445	921	1145
446	924	1143
447	926	1141
448	928	1139
449	930	1136
450	932	1135
451	934	1132
452	935	1129
453	936	1126
454	938	1123
455	941	1122
456	942	1119
457	943	1117
458	945	1114
459	946	1111
460	948	1108
461	950	1106
462	951	1103
463	952	1100
464	955	1099
465	957	1096
466	959	1094
467	960	1092
468	962	1089
469	963	1086
470	965	1083
471	966	1081
472	967	1078
473	970	1077
474	971	1074
475	973	1071
476	974	1068
477	976	1066
478	977	1063
479	979	1060
480	981	1058
481	982	1056
482	984	1053
483	986	1051
484	988	1049
485	989	1046
486	991	1044
487	993	1042
488	994	1039
489	996	1037
490	997	1034
491	999	1031
492	1000	1029
493	1002	1026
494	1003	1023
495	1006	1022
496	1007	1019
497	1008	1017
498	1010	1014
499	1012	1012
500	1013	1009
501	1015	1007
502	1016	1004
503	1018	1001
504	1020	1000
505	1022	998
506	1024	996
507	1026	993
508	1027	991
509	1028	988
510	1030	985
511	1031	983
512	1033	980
513	1036	979
514	1039	979
515	1041	976
516	1042	974
517	1044	971
518	1045	969
519	1046	966
520	1048	963
521	1050	961
522	1052	959
523	1053	957
524	1055	955
525	1057	952
526	1058	950
527	1059	947
528	1061	944
529	1062	942
530	1065	940
531	1066	938
532	1068	935
533	1069	933
534	1071	930
535	1072	928
536	1073	925
537	1075	923
538	1076	920
539	1078	918
540	1080	916
541	1081	914
542	1083	911
543	1084	909
544	1086	906
545	1087	904
546	1089	901
547	1090	899
548	1092	897
549	1095	896
550	1097	894
551	1099	892
552	1101	890
553	1103	887
554	1104	885
555	1105	883
556	1107	880
557	1110	879
558	1111	876
559	1112	874
560	1114	871
561	1115	869
562	1116	866
563	1118	864
564	1120	862
565	1121	860
566	1123	858
567	1125	855
568	1126	853
569	1128	851
570	1129	848
571	1131	846
572	1132	844
573	1134	841
574	1135	839
575	1137	837
576	1139	835
577	1141	833
578	1142	831
579	1144	828
580	1145	826
581	1147	824
582	1148	821
583	1150	819
584	1152	817
585	1153	815
586	1155	812
587	1156	810
588	1158	808
589	1159	805
590	1161	803
591	1162	801
592	1163	798
593	1165	796
594	1167	794
595	1169	792
596	1170	790
597	1172	787
598	1173	785
599	1174	783
600	1176	780
601	1177	778
602	1179	776
603	1180	773
604	1182	772
605	1184	769
606	1185	767
607	1186	765
608	1188	762
609	1189	760
610	1191	758
611	1192	756
612	1194	753
613	1195	751
614	1197	749
615	1199	747
616	1200	745
617	1202	743
618	1203	740
619	1204	738
620	1206	736
621	1207	734
622	1209	731
623	1211	730
624	1213	728
625	1215	725
626	1216	723
627	1217	721
628	1219	719
629	1220	716
630	1222	714
631	1223	712
632	1226	711
633	1227	708
634	1229	706
635	1231	704
636	1233	702
637	1234	700
638	1236	698
639	1237	696
640	1238	693
641	1241	692
642	1243	690
643	1245	688
644	1246	686
645	1248	684
646	1249	681
647	1251	679
648	1252	677
649	1254	675
650	1256	673
651	1258	671
652	1260	669
653	1261	667
654	1263	665
655	1264	663
656	1265	660
657	1267	658
658	1269	656
659	1271	655
660	1273	652
661	1274	650
662	1275	648
663	1277	646
664	1278	644
665	1280	642
666	1281	639
667	1283	637
668	1285	636
669	1287	634
670	1288	631
671	1290	629
672	1291	627
673	1293	625
674	1294	623
675	1296	621
676	1297	619
677	1299	617
678	1301	615
679	1302	613
680	1304	610
681	1305	608
682	1307	606
683	1308	604
684	1310	602
685	1311	600
686	1313	598
687	1315	596
688	1317	594
689	1319	592
690	1320	590
691	1322	588
692	1324	586
693	1325	584
694	1327	582
695	1330	580
696	1331	578
697	1333	576
698	1335	574
699	1336	572
700	1338	570
701	1339	568
702	1341	566
703	1342	564
704	1345	562
705	1346	560
706	1348	558
707	1349	556
708	1351	554
709	1352	552
710	1353	550
711	1355	548
712	1357	546
713	1359	544
714	1360	542
715	1362	540
716	1363	538
717	1365	536
718	1366	534
719	1368	532
720	1369	529
721	1370	527
722	1373	526
723	1374	524
724	1376	522
725	1377	520
726	1379	517
727	1380	515
728	1382	513
729	1383	511
730	1385	509
731	1386	507
732	1389	505
733	1390	503
734	1391	501
735	1393	499
736	1395	498
737	1397	496
738	1398	493
739	1400	491
740	1401	490
741	1403	488
742	1405	486
743	1407	484
744	1409	482
745	1411	480
746	1412	478
747	1413	476
748	1415	474
749	1417	472
750	1419	470
751	1421	468
752	1423	466
753	1424	464
754	1425	462
755	1427	460
756	1428	458
757	1430	456
758	1432	454
759	1434	452
760	1435	450
761	1436	448
762	1438	446
763	1440	445
764	1442	443
765	1444	441
766	1447	439
767	1449	437
768	1450	435
769	1452	433
770	1453	431
771	1454	429
772	1456	427
773	1457	425
774	1459	423
775	1460	421
776	1462	419
777	1464	417
778	1465	415
779	1467	413
780	1468	411
781	1470	409
782	1471	407
783	1473	405
784	1474	403
785	1476	401
786	1478	400
787	1479	398
788	1481	396
789	1482	394
790	1483	392
791	1485	390
792	1486	388
793	1488	386
794	1489	384
795	1491	382
796	1493	380
797	1494	378
798	1496	376
799	1497	374
800	1499	372
801	1500	370
802	1501	368
803	1503	366
804	1504	364
805	1507	362
806	1509	360
807	1510	358
808	1512	357
809	1513	355
810	1514	353
811	1516	351
812	1517	349
813	1519	347
814	1521	345
815	1523	343
816	1524	341
817	1526	339
818	1528	337
819	1529	335
820	1530	333
821	1532	331
822	1533	329
823	1536	328
824	1537	326
825	1539	324
826	1540	322
827	1542	320
828	1543	318
829	1544	316
830	1546	314
831	1547	312
832	1549	310
833	1551	308
834	1553	306
835	1554	304
836	1555	303
837	1557	301
838	1558	299
839	1560	297
840	1561	295
841	1562	293
842	1566	291
843	1567	289
844	1569	287
845	1570	285
846	1572	283
847	1573	282
848	1575	280
849	1576	278
850	1577	276
851	1580	274
852	1582	272
853	1584	270
854	1585	268
855	1587	266
856	1588	265
857	1589	263
858	1591	261
859	1592	259
860	1594	257
861	1596	255
862	1598	253
863	1599	251
864	1600	249
865	1602	247
866	1603	246
867	1605	244
868	1606	242
869	1608	240
870	1610	238
871	1612	236
872	1613	234
873	1615	232
874	1617	231
875	1618	229
876	1619	227
877	1621	225
878	1622	223
879	1625	221
880	1626	219
881	1628	217
882	1629	215
883	1630	214
884	1632	212
885	1633	210
886	1635	208
887	1636	206
888	1638	204
889	1640	202
890	1641	200
891	1643	198
892	1644	197
893	1646	195
894	1647	193
895	1649	191
896	1650	189
897	1651	187
898	1653	185
899	1655	183
900	1657	182
901	1658	180
902	1659	178
903	1661	176
904	1662	174
905	1664	172
906	1666	170
907	1667	168
908	1669	167
909	1671	165
910	1672	163
911	1674	161
912	1675	159
913	1677	157
914	1678	155
915	1680	154
